,id,name,artist,genre,acousticness,danceability,valence,duration_ms,energy,instrumentalness,key,liveness,loudness,mode,speechiness,tempo,time_signature
59,5ca5S2oMyrctEh9JOFqjVO,My House - Radio Edit,Rootbox,tech_house,0.0321,0.768,0.595,176249,0.858,0.00896,7,0.175,-5.531,1,0.0833,126.014,4
60,5o0kbZSpUgOqGl0vLVthc1,Not The Answer,Ely Oaks,tech_house,0.0236,0.739,0.507,146905,0.819,0.383,2,0.382,-6.146,1,0.0754,126.008,4
61,2TtXot2tzeHkuE7NdnqfPK,Focus,JustLuke,tech_house,0.00505,0.555,0.275,152109,0.936,0.438,1,0.0775,-4.569,1,0.0375,128.022,4
62,6AhhLgwVupMjfnX0HL9voF,Pepper Shaker,Sllash & Doppe,tech_house,0.000846,0.789,0.604,166830,0.845,0.549,8,0.426,-5.106,0,0.0494,123.016,4
63,6wXGnD6t5eOBPi1zwc90n1,Push My Body,Zheno,tech_house,0.0121,0.66,0.933,141300,0.876,0.855,6,0.15,-6.394,1,0.0498,124.011,4
64,2vGuZne5C6qiZFICZ8Uo8Q,Keep Movin - Radio Edit,Hurm,tech_house,0.00882,0.833,0.0841,213516,0.934,0.425,0,0.089,-5.817,1,0.0869,127.963,4
65,2VyWxzh4boiHOyskvUhIoX,Hercules,LOTHUM,tech_house,0.0036,0.778,0.926,232320,0.929,0.47,0,0.0694,-7.287,1,0.0548,124.989,4
66,24LswNsEleksLzTEH9e9gP,I'm Sorry,Crusy,tech_house,0.00115,0.769,0.423,190476,0.945,0.0878,2,0.203,-4.128,1,0.0597,126.01,4
67,6IeoH7ScG8Hc9YaVjhIto1,Freaks,FISHER,tech_house,0.00222,0.806,0.787,175255,0.868,0.79,1,0.122,-4.344,1,0.0548,124.006,4
68,7zmZg1gbOzGYFsPQNBy0as,Infectious,Niko The Kid,tech_house,0.00809,0.828,0.54,185806,0.744,0.0713,11,0.123,-5.562,0,0.131,123.988,4
69,3mgIfqJfJrwMwMKVyd0H4Q,Lose Control (feat. Purple Velvet Curtains),Volac,tech_house,0.00464,0.741,0.25,200000,0.895,0.824,1,0.127,-5.75,1,0.0466,125.996,4
70,71NOmiKvk7s5R7dUurNjuy,You Little Beauty,FISHER,tech_house,0.00235,0.926,0.927,206588,0.953,0.442,6,0.313,-5.531,0,0.0911,123.983,4
71,5rdhiE7gemybzNfaPwv3NH,Rebel,Jack Rush,tech_house,0.0182,0.891,0.7,218885,0.906,0.00123,7,0.0366,-6.146,1,0.156,125.047,4
72,5WNa0eaGNwQ1ZXTHVlULpd,Deep End - SIDEPIECE Remix,John Summit,tech_house,0.143,0.773,0.453,196687,0.652,0.024,11,0.44,-9.187,0,0.0807,126.007,4
73,3fAD5enNQcm987gVR0n7US,Again & Again,George Z,tech_house,0.0177,0.792,0.613,146613,0.731,0.199,3,0.108,-6.644,0,0.0487,124.026,4
74,37qV9lhTq40KXUoPLXfGZ6,Fur,Endor,tech_house,0.021,0.809,0.467,162667,0.926,0.152,9,0.0775,-8.778,1,0.139,127.024,4
75,4vgP9RNzsXEUcW7Ws50VrI,Make Me Feel,John Summit,tech_house,0.0243,0.767,0.434,201905,0.67,0.828,2,0.117,-9.153,1,0.045,126.013,4
76,2SweUwDKRlXeCDyaJddhWJ,Wanna Go Dancin',FISHER,tech_house,0.00676,0.764,0.748,180504,0.856,0.739,4,0.0606,-5.415,1,0.0659,125.0,4
