id,name,artist,genre,acousticness,danceability,valence,duration_ms,energy,instrumentalness,key,liveness,loudness,mode,speechiness,tempo,time_signature
6khiPXapuKJt8npyZXhL0Q,Love's Got Me High - Marc Romboy's Systematic Soul Mix,Terrence Parker,house,0.0252,0.838,0.8220000000000001,401118,0.5870000000000001,0.0288,11,0.042,-9.536,0,0.0493,117.995,4
547iG5F16pTdim4XlMlGEU,Follow Me - Club Mix,Aly-Us,house,0.00249,0.752,0.5710000000000001,384000,0.8029999999999999,0.0261,8,0.042,-6.223,1,0.0283,120.15100000000001,4
2jzdxxtPk8hI5AlVJMI1dh,Shades of Jae,Moodymann,house,0.00426,0.7759999999999999,0.743,415933,0.8109999999999999,0.126,2,0.897,-10.465,0,0.0494,120.626,4
2P6QV6D4E3TxcYoYYz8ANJ,Blind - Frankie Knuckles Remix,Hercules & Love Affair,house,0.0194,0.7829999999999999,0.862,471996,0.7809999999999999,0.128,2,0.0299,-5.39,0,0.0481,123.995,4
1oSzGwdNNtH4VKN9c7u95c,Love Changes (feat. Alana) - Masters At Work / MK Dub,MK,house,0.0077,0.787,0.431,407864,0.607,0.852,1,0.0573,-11.360999999999999,1,0.04,123.189,4
7b3MjFv3l2hJHPKE3xQxSL,Big Love,Pete Heller's Big Love,house,0.000676,0.688,0.5820000000000001,609807,0.8290000000000001,0.8640000000000001,9,0.0419,-5.825,1,0.0444,126.79899999999999,4
0U7sbXtHiRvvJPIv3xvDpt,If Only I Could (feat. Steve Lucas) - Liem Remix,Fusion Groove Orchestra,house,0.0943,0.983,0.878,426945,0.9359999999999999,0.7190000000000001,9,0.0902,-8.541,0,0.325,126.0,4
3EXPdW0NGGkPlyDMcScfgu,Intro,Alan Braxe,house,0.0292,0.8590000000000001,0.61,294720,0.848,0.00151,1,0.304,-5.8420000000000005,1,0.21600000000000003,123.93700000000001,5
01fqNiKlPfYhNMnf3zk0tI,Muzik X-Press,X-Press 2,house,0.0114,0.677,0.541,499267,0.9309999999999999,0.894,6,0.113,-7.252999999999999,1,0.0508,124.01299999999999,4
6ASFk2N9d84vswoxzkXqpH,Son Of Raw,Dennis Ferrer,house,0.42100000000000004,0.8009999999999999,0.5429999999999999,398040,0.843,0.909,6,0.0724,-8.606,1,0.0928,126.976,4
