,id,name,artist,genre,acousticness,danceability,valence,duration_ms,energy,instrumentalness,key,liveness,loudness,mode,speechiness,tempo,time_signature
51,1ubk4FS88dx180KNXHYqWw,Vibrancy - Original Mix,UMEK,techno,0.000178,0.515,0.134,410269,0.925,0.844,1,0.109,-9.209,1,0.0825,128.002,4
52,5z7VT7KoeFLT1rjeyDzdMI,DT64,Moguai,techno,0.0977,0.743,0.172,417231,0.945,0.839,11,0.115,-8.66,0,0.0671,129.992,4
53,34GCgxeiIduIjLtonQRarc,The House of House - Thomas Schumacher Remix,Cherrymoon Trax,techno,0.0094,0.67,0.0375,466512,0.725,0.929,1,0.074,-8.339,0,0.0875,128.988,4
54,2kDYV6ZiEqTQ9AKtU3Dxk8,Chrome,Layton Giordani,techno,0.000365,0.794,0.0867,384375,0.868,0.875,10,0.67,-5.07,1,0.055,128.006,4
55,1lbUtnuS8AYvKd0lziKpJ4,Space Date - Pleasurekraft Remix,Adam Beyer,techno,0.000607,0.723,0.0629,549051,0.822,0.788,10,0.112,-9.421,0,0.0452,127.007,4
56,7cewuOETUlK5LMdgZOURsT,What Once was Lost,Spektre,techno,0.000205,0.743,0.297,280229,0.922,0.875,2,0.138,-7.942,1,0.0734,128.009,4
57,2ufaSJbQinz0ito3criDx6,Through The Pain,Juliet Fox,techno,8.83e-05,0.671,0.218,450462,0.81,0.481,7,0.104,-8.499,1,0.0482,129.999,4
58,5SJgwEwJf8NjOTcEQunq4G,Bonfire,Alex Stein,techno,0.00073,0.731,0.0455,391992,0.931,0.852,6,0.0752,-8.045,0,0.0536,128.002,4
59,0Qulgqs9hxDkOvjqiL5vee,Apollo,Luca Agnelli,techno,0.0406,0.754,0.0387,407442,0.835,0.92,1,0.104,-8.209,0,0.0578,128.009,4
60,77DdPcZAgdV7fvLf2peo7o,Nimbus,Victor Ruiz,techno,7.75e-05,0.725,0.0389,519935,0.876,0.929,7,0.0719,-6.749,1,0.0403,127.995,4
61,1WsHKAuN9vDthcmimdqqaY,Your Mind,Adam Beyer,techno,0.000252,0.751,0.0388,502969,0.721,0.574,11,0.119,-8.093,0,0.0655,126.02,4
62,6pB2YpyooKBao791pVNCtw,Wonder,Victor Ruiz,techno,0.000443,0.733,0.0271,488000,0.88,0.938,4,0.105,-8.798,0,0.0513,128.03,4
63,30uitMgJTawWlVLNFEj3BD,Camargue 2019 - Enrico Sangiuliano Remix,CJ Bolland,techno,0.00352,0.715,0.239,494769,0.84,0.878,5,0.158,-8.022,0,0.0434,130.001,4
64,027549yWqZS7y50vkB787P,Freedom of Expression - Dark Acid Mix,A*S*Y*S,techno,0.0196,0.7,0.0523,397273,0.917,0.844,2,0.0922,-7.002,1,0.0539,132.019,4
65,3WfExCi2dZylbWSLfmJBPE,La La Land - Tocadisco Remix,Green Velvet,techno,0.00394,0.77,0.07,302812,0.952,0.725,2,0.0967,-8.287,1,0.108,128.028,4
66,0fNPQfj9nmAgbzFfRv0bmm,Resurrection - Reinier Zonneveld 2020 Remix,Reinier Zonneveld,techno,0.00242,0.676,0.395,285802,0.754,0.905,1,0.107,-6.272,0,0.0448,130.974,4
67,3jgpE2RhPNOD98t5PoYTrT,Warped,Joyhauser,techno,0.000595,0.589,0.257,450458,0.831,0.896,10,0.361,-7.598,0,0.0378,130.007,4
68,3b7ZA0UdkYO80VA7vjSjK0,Dreams - Umek Version,Quench,techno,0.00252,0.659,0.181,381183,0.805,0.884,1,0.243,-6.921,1,0.0691,130.992,4
69,76HRtv4oD2NdJoG8aDOk39,Dori Me,Deborah de Luca,techno,0.003,0.712,0.522,387156,0.64,0.0318,4,0.105,-8.822,1,0.0781,130.812,4
70,5uGAsQOyfMih2F9Zk8TkYH,Sgadi Li Mi,Charlotte de Witte,techno,0.0597,0.765,0.0528,384387,0.94,0.932,6,0.106,-9.784,0,0.0605,135.009,4
71,3Y7kUkLjiY70JafNJnC31R,Immortal,Dok & Martin,techno,4.39e-05,0.786,0.0509,417246,0.82,0.899,11,0.0644,-8.693,0,0.0417,130.001,4
72,0IGOSvMMFsLVYvUfXqKHjD,Distinct Operator - Original Mix,UMEK,techno,0.00944,0.73,0.195,376731,0.839,0.9,11,0.112,-6.763,0,0.0496,130.002,4
73,63zmIeGnnnerOweD9FT5vJ,Time-Out,André Winter,techno,9.27e-05,0.784,0.315,375476,0.797,0.885,10,0.0748,-10.41,0,0.0608,125.992,4
74,6AjJ0GijsnB8woz1O4wfkq,Tenebrous,Beico,techno,0.00284,0.645,0.395,418272,0.947,0.839,2,0.0888,-8.52,1,0.0442,129.991,4
75,6Rnj6SbTsWUqViYBxusYpC,Devotion,Transcode,techno,0.00198,0.716,0.0905,451875,0.748,0.79,1,0.102,-8.997,0,0.053,128.005,4
76,0zu6VMCOb3ZrvbiCRUIDab,I Go Out - 2020 Rework,Deborah de Luca,techno,0.00734,0.755,0.0931,380625,0.777,0.177,6,0.0978,-6.724,1,0.053,128.015,4
77,4CbEP5CJiJsC3KE7Ssaorw,Predator - Original Mix,UMEK,techno,0.00103,0.703,0.0353,412617,0.83,0.858,10,0.098,-7.624,0,0.0634,128.004,4
78,1oS2KLeNQcz2AUr6ZqdV7K,Speed of Light,Alex Stein,techno,0.00104,0.626,0.0392,385870,0.858,0.931,11,0.108,-9.576,1,0.0548,130.001,4
79,5rhhWY76G1IXjVrbR58EBC,Breathe,KAS:ST,techno,0.00734,0.436,0.0381,336335,0.82,0.869,11,0.267,-9.307,0,0.0381,132.009,3
80,79UzFFBn4dFovvqh9bKanm,Hidden T,Enrico Sangiuliano,techno,0.0132,0.688,0.157,468822,0.678,0.864,7,0.0823,-10.087,1,0.0499,126.012,4
81,4JTnOnY8utVYe9vjBG0nIG,Pai,Sabura,techno,0.000844,0.723,0.136,390968,0.668,0.919,7,0.0737,-9.673,1,0.0576,123.993,4
82,6hjijDFct3dzg2gfxekETy,New Generation,Layton Giordani,techno,0.00138,0.761,0.0896,284308,0.898,0.685,6,0.115,-3.727,0,0.0415,130.005,4
83,0KT802lLtCx8vtaVcOF24d,System Majority,Layton Giordani,techno,0.00054,0.698,0.148,272578,0.916,0.924,2,0.102,-7.359,1,0.0491,128.017,4
84,7sKlCCbWryUL7uANyvFDw6,Distance,Mark Reeve,techno,0.00674,0.791,0.0278,432685,0.81,0.864,9,0.108,-7.128,0,0.0714,130.007,4
