,id,name,artist,genre,acousticness,danceability,valence,duration_ms,energy,instrumentalness,key,liveness,loudness,mode,speechiness,tempo,time_signature
92,1FCiJpIq40NrVuz1Dp50Ij,Perpetual,Denis Horvat,proghouse_melodic,6.12e-05,0.772,0.569,492517,0.777,0.899,4,0.0795,-11.288,1,0.05,117.994,4
93,1WCjQMeH8ajJAnt8ukugk6,Wave Rider,Fideles,proghouse_melodic,0.00252,0.671,0.309,359271,0.655,0.907,2,0.114,-10.405,0,0.0404,123.016,4
94,3xaYNulG8k2OZaAOpPbvbu,Doubts,Stephan Jolk,proghouse_melodic,0.000479,0.733,0.221,340831,0.508,0.882,7,0.0923,-11.183,0,0.0386,126.002,4
95,4umLzOBGXqKqNVAuYJqAGi,Diamant,Stephan Bodzin,proghouse_melodic,0.74,0.656,0.0384,547915,0.834,0.877,0,0.103,-13.942,1,0.0488,124.999,4
96,2LPEw0ftIfS4G7rmm4F716,The First Time,KAS:ST,proghouse_melodic,0.00152,0.544,0.03,452835,0.856,0.728,4,0.622,-8.871,0,0.0391,125.003,4
97,56hIBKDYQrra3laJF9X13c,Astra,Agents Of Time,proghouse_melodic,0.00133,0.726,0.29,348307,0.609,0.838,2,0.11,-11.804,1,0.0653,126.986,4
98,2zsRuCIXNgmcLjeW2ie1yy,Moonwar,Lyke,proghouse_melodic,0.00357,0.793,0.0318,323246,0.693,0.897,2,0.101,-12.266,1,0.0464,126.006,4
99,6WAPyLK5BqYgAJnsbuyQ20,Behind Us,Glowal,proghouse_melodic,9.78e-05,0.745,0.411,457614,0.616,0.575,7,0.0995,-9.224,1,0.0444,121.999,4
100,2e9kdlRrnJijW6GPVBChGP,A True Connection,Anyma,proghouse_melodic,0.00964,0.732,0.0384,360036,0.609,0.857,2,0.0831,-12.73,1,0.052,125.995,4
101,7pVadgvaJIPrQStHnYnJvj,Immigrant,Woo York,proghouse_melodic,0.0309,0.745,0.0308,375208,0.778,0.848,2,0.0801,-10.716,1,0.0578,123.995,4
102,4xyHbBaX31iw4hY2w7EkC7,Tunnel,Recondite,proghouse_melodic,0.214,0.707,0.161,402484,0.656,0.922,7,0.0985,-13.08,1,0.0716,127.004,4
103,4UDXhoa2uEPXCAbEFtExSh,Chrysalis,Josh Wink,proghouse_melodic,0.105,0.746,0.237,477145,0.59,0.915,3,0.105,-9.141,0,0.0455,130.996,3
104,4oraMWzhvL6YOrTxrD5bYd,Wir kommen,Marcel Fengler,proghouse_melodic,0.00173,0.735,0.0384,494918,0.822,0.84,7,0.217,-9.228,1,0.0434,130.007,4
105,33tst8Hm6AIS0fKkU4y55o,Omertà,Kevin de Vries,proghouse_melodic,0.00519,0.848,0.0692,361204,0.458,0.911,6,0.105,-10.208,1,0.0775,124.998,4
106,7FwtDWtkxZhJ7RSTzCtfyH,Fiorire D'inverno,SOEL,proghouse_melodic,0.00772,0.67,0.0727,411944,0.684,0.537,3,0.666,-10.55,0,0.0427,122.994,4
107,1T1orC7JTlWF9xoF6ZkGMj,Dust Planet,Innellea,proghouse_melodic,0.000845,0.49,0.032,389745,0.718,0.854,8,0.112,-8.662,1,0.0565,121.886,4
108,61Aj0F4ZUrQq6wZUufPqPU,Magia,Mathame,proghouse_melodic,0.141,0.83,0.0372,373570,0.516,0.737,5,0.102,-11.505,0,0.0529,126.001,4
109,0YlxqQGHEJvL3jSfy5QUR1,Ryder,The Element MT,proghouse_melodic,0.0558,0.439,0.0438,405237,0.383,0.914,1,0.12,-13.737,1,0.0772,128.026,3
110,4GksRSVYfvytcw8IIfdtJS,Unfold,Marino Canal,proghouse_melodic,0.443,0.699,0.147,460524,0.23,0.903,1,0.102,-16.186,0,0.0489,123.013,4
111,1ZxOZ9O8mrEdi0knc5HgoT,Last Call,In Anima,proghouse_melodic,0.0813,0.7,0.0382,410315,0.56,0.907,1,0.0797,-11.15,0,0.0387,127.006,4
112,0ra2KycIylOc1NDTVkIUcv,Claim Your Love,Alfa Romero,proghouse_melodic,0.616,0.504,0.226,440388,0.502,0.919,6,0.112,-14.355,0,0.0554,124.987,3
113,4nKCEaOCVl9D7VqqTuKFwU,Aftertime,Franky Wah,proghouse_melodic,0.00172,0.351,0.346,474990,0.769,0.89,1,0.0833,-9.729,0,0.0391,124.017,4
114,5AS5XR6Kf2nD04B7Deqh6G,Above It All,Mind Against,proghouse_melodic,0.00376,0.757,0.428,209524,0.691,0.94,9,0.0814,-11.623,0,0.0895,126.025,4
115,6j0ao2DgHem5dpnGeHwufi,Walking Away,Mind Against,proghouse_melodic,0.00305,0.636,0.0686,425907,0.519,0.847,1,0.0933,-10.363,1,0.0581,119.995,4
116,2eLNQSXNIwPwKy5O1OSPkD,Bloom,Mind Against,proghouse_melodic,0.349,0.74,0.0357,456667,0.519,0.885,1,0.154,-13.994,0,0.0447,122.999,4
117,7ehBoh9FIeIiEnORzexRZ2,For Every Forever,Mathame,proghouse_melodic,0.00237,0.713,0.0556,382500,0.537,0.387,4,0.0856,-8.741,0,0.0421,128.034,4
118,6P9PEjOq9scfMKFJhFSWAw,For Every Forever - Dub Mix,Mathame,proghouse_melodic,0.00187,0.708,0.0393,382500,0.521,0.86,4,0.0853,-9.09,0,0.0406,128.004,4
119,1jR69sehqHjAmjDIp4BZM8,Stairway 3000,Mathame,proghouse_melodic,0.0232,0.845,0.188,453543,0.644,0.868,4,0.137,-11.384,0,0.118,127.037,4
120,1ioIFdghF95eP2XcgFv98P,Sender,Patrice Bäumel,proghouse_melodic,3e-05,0.8,0.196,402114,0.951,0.902,1,0.0394,-9.021,1,0.0482,126.002,3
121,3CHjrfCED2KkkX0WK4TVMN,Receiver,Patrice Bäumel,proghouse_melodic,0.000173,0.796,0.128,399090,0.608,0.937,9,0.061,-11.318,0,0.049,126.999,4
122,4drvFlu300lN8mDhz3SFXA,Hold Me To The Light,KAS:ST,proghouse_melodic,0.177,0.467,0.0371,505565,0.602,0.538,7,0.141,-11.079,1,0.0477,121.218,3
123,3Allgqu3MaHE8QFvzoP90S,Hold Me To The Light - Tale Of Us Remix,KAS:ST,proghouse_melodic,0.00363,0.643,0.0854,398095,0.822,0.749,7,0.13,-9.29,1,0.0497,125.969,4
124,5o6XskFbO8jYabXJZIah8l,The Hymn Of Fallen Dreams,KAS:ST,proghouse_melodic,0.0862,0.414,0.0325,474143,0.698,0.92,11,0.092,-9.867,0,0.0405,122.982,4
125,14UOIUQ7aFApVtGBlsUaqk,Be Yourself,KAS:ST,proghouse_melodic,0.302,0.593,0.199,397790,0.753,0.783,8,0.433,-9.118,0,0.0781,125.997,3
126,38hebarNfiAhQaO2uPWYCB,White Blanket,Innellea,proghouse_melodic,0.00624,0.756,0.303,372036,0.497,0.209,9,0.059,-8.912,1,0.0378,119.999,4
127,4fUPVwqgZ81Zkv4EknyDTF,The World Returns,Innellea,proghouse_melodic,0.000983,0.632,0.0392,381676,0.571,0.827,7,0.111,-8.743,1,0.0311,121.976,4
128,61sVNnkqIfPnr5zOmb6yEJ,Visionquest,Innellea,proghouse_melodic,0.00756,0.755,0.246,470036,0.789,0.928,1,0.0885,-9.103,1,0.0385,120.004,4
